
Image Name                     PID Session Name        Session#    Mem Usage
FnHotkeyUtility.exe          27564 Console                    4     60,684 K
nvcontainer.exe              17724 Console                    4     36,812 K
nvcontainer.exe              19224 Console                    4     87,208 K
sihost.exe                   14404 Console                    4     52,580 K
unsecapp.exe                  3776 Console                    4     10,400 K
svchost.exe                  28456 Console                    4     15,964 K
svchost.exe                   8836 Console                    4     35,932 K
svchost.exe                  27668 Console                    4      7,972 K
svchost.exe                  18596 Console                    4     49,716 K
taskhostw.exe                 6356 Console                    4     21,816 K
powershell.exe                1836 Console                    4     64,864 K
conhost.exe                  26732 Console                    4      1,004 K
explorer.exe                 21516 Console                    4    439,916 K
ShellHost.exe                14480 Console                    4     63,412 K
CrossDeviceResume.exe        15408 Console                    4     72,720 K
svchost.exe                  23432 Console                    4     33,788 K
svchost.exe                  18108 Services                   0     12,936 K
CrossDeviceService.exe        2932 Console                    4    117,480 K
SearchHost.exe               10344 Console                    4    158,384 K
StartMenuExperienceHost.e     4176 Console                    4    216,508 K
nvsphelper64.exe             20676 Console                    4     17,424 K
NVIDIA Overlay.exe            9960 Console                    4    207,708 K
Widgets.exe                  19112 Console                    4     70,456 K
svchost.exe                   1216 Console                    4     26,348 K
RuntimeBroker.exe            26368 Console                    4     62,132 K
WidgetService.exe            11520 Console                    4     29,172 K
unsecapp.exe                 17956 Console                    4     10,676 K
svchost.exe                  18148 Console                    4     25,352 K
NVIDIA Overlay.exe           22020 Console                    4     77,988 K
NVIDIA Overlay.exe           24696 Console                    4     36,560 K
NVIDIA Overlay.exe           18500 Console                    4     24,036 K
msedgewebview2.exe           20156 Console                    4    125,604 K
RuntimeBroker.exe             7368 Console                    4     14,588 K
msedgewebview2.exe           25788 Console                    4     13,248 K
msedgewebview2.exe           22188 Console                    4     75,492 K
msedgewebview2.exe           15700 Console                    4     41,968 K
msedgewebview2.exe           12672 Console                    4     20,496 K
NVIDIA Overlay.exe           20928 Console                    4     92,452 K
msedgewebview2.exe            5284 Console                    4    126,092 K
ctfmon.exe                   19424 Console                    4     36,948 K
LockApp.exe                  27256 Console                    4    103,056 K
RuntimeBroker.exe            11548 Console                    4     48,440 K
svchost.exe                  24844 Console                    4     21,964 K
PhoneExperienceHost.exe      27304 Console                    4  1,407,120 K
chrome.exe                    6820 Console                    4    444,148 K
chrome.exe                    3512 Console                    4     10,136 K
chrome.exe                   23556 Console                    4    402,580 K
chrome.exe                   18912 Console                    4     68,168 K
chrome.exe                   10552 Console                    4     22,120 K
chrome.exe                    9980 Console                    4     66,384 K
chrome.exe                    6176 Console                    4     65,740 K
chrome.exe                   25764 Console                    4     55,188 K
cmd.exe                      27272 Console                    4      4,892 K
conhost.exe                  12712 Console                    4      9,972 K
extension-host.exe           11640 Console                    4      4,600 K
cmd.exe                      17520 Console                    4      4,940 K
conhost.exe                  23132 Console                    4      9,972 K
chrome-native-host.exe       12468 Console                    4      5,224 K
chrome.exe                   13948 Console                    4    119,740 K
SecurityHealthSystray.exe    11428 Console                    4     13,448 K
NhNotifSys.exe               14216 Console                    4     30,116 K
WindowsTerminal.exe          27748 Console                    4    134,216 K
RtkAudUService64.exe         24736 Console                    4     19,492 K
OneDrive.exe                 25964 Console                    4    199,980 K
OneDrive.Sync.Service.exe    16736 Console                    4     88,808 K
ShellExperienceHost.exe      23396 Console                    4    111,092 K
RuntimeBroker.exe             8848 Console                    4     35,764 K
chrome.exe                   19520 Console                    4    633,540 K
RazerAppEngine.exe            9100 Console                    4    184,712 K
RazerAppEngine.exe           27260 Console                    4     98,628 K
RazerAppEngine.exe            4604 Console                    4     52,412 K
RazerAppEngine.exe           17020 Console                    4     94,052 K
RzEngineMon.exe              14004 Console                    4      9,016 K
ProtonVPN.Client.exe          7464 Console                    4    410,708 K
chrome.exe                   15632 Console                    4     25,148 K
RazerAppEngine.exe           27156 Console                    4    102,956 K
RazerAppEngine.exe           21544 Console                    4     97,036 K
msedgewebview2.exe           25444 Console                    4      5,600 K
msedgewebview2.exe           21740 Console                    4     13,452 K
msedgewebview2.exe           23884 Console                    4      5,560 K
msedgewebview2.exe           12168 Console                    4      1,796 K
chrome.exe                   21812 Console                    4     56,072 K
msedgewebview2.exe           20464 Console                    4         16 K
msedgewebview2.exe            5960 Console                    4        528 K
RazerAppEngine.exe           16992 Console                    4    113,040 K
RazerAppEngine.exe           25440 Console                    4    105,020 K
RuntimeBroker.exe            25064 Console                    4     21,872 K
ProtonVPNService.exe         15300 Services                   0    122,912 K
RazerAppEngine.exe            7548 Console                    4    115,920 K
ollama app.exe               10948 Console                    4     26,884 K
AutoHotkeyU64.exe            11836 Console                    4     13,560 K
ollama.exe                   25624 Console                    4    163,696 K
conhost.exe                  17556 Console                    4      9,980 K
ShareX.exe                   12492 Console                    4    451,072 K
backgroundTaskHost.exe        9680 Console                    4      1,996 K
chrome.exe                    6568 Console                    4  1,083,760 K
ApplicationFrameHost.exe     21208 Console                    4     63,428 K
SystemSettings.exe           25192 Console                    4      1,944 K
svchost.exe                  17892 Console                    4     14,816 K
UserOOBEBroker.exe           18524 Console                    4     11,832 K
svchost.exe                   2256 Console                    4     14,796 K
obs64.exe                    19248 Console                    4    216,084 K
FileCoAuth.exe               15656 Console                    4     34,692 K
chrome.exe                   14412 Console                    4    169,876 K
chrome.exe                   28576 Console                    4    189,204 K
explorer.exe                 27036 Console                    4    211,784 K
explorer.exe                 16900 Console                    4    167,424 K
svchost.exe                  15568 Services                   0      8,540 K
DataExchangeHost.exe         19092 Console                    4     43,980 K
chrome.exe                   28572 Console                    4    273,800 K
